idciudadnac, Ciudad, Cantidad , 
734,Concepción del Uruguay,113,
742,Colón,16,
655,Gualeguaychú,11,
715,Concordia,7,
752,San José,7,
748,Urdinarrain,5,
1912,Rio Gallegos,3,
727,Villaguay,3,
9598,Paysandú,3,
1869,San Salvador De Juju,2,
9636,Paraná,2,
747,Villa Elisa,2,
9693,Chajarí,2,
750,Federaciòn,2,
1366,Santa Fe,2,
9650,BUENOS AIRES,2,
150,La Plata,2,
9661,Crespo,2,
9621,Larroque,2,
9674,Moreno,1,
702,Basavilbaso,1,
476,Col. Nro 3 Cnel. Sua,1,
1130,Obera,1,
1132,Campo Grande,1,
1894,Caleta Olivia,1,
9633,Santa Anita,1,
9634,Nogoya,1,
1917,San Justo,1,
67,Martinez,1,
1148,Formosa,1,
1176,Plaza Huincul,1,
741,Herrera,1,
9646,Buenos Aires,1,
751,Rosario del Tala,1,
585,Capital Federal,1,
9651,Feliciano,1,
589,Capital Federal,1,
753,San Salvador,1,
1431,Villa Ocampo,1,
9603,Quilmes,1,
592,Capital Federal,1,
9658,Capital Federal,1,
596,Capital Federal,1,
9783,Ciudad del Este,1,
9784,Wanda,1,
9611,Capital Federal,1,
760,Caseros,1,
1553,Corrientes,1,
1581,Curuzu-cuatia,1,
354,25 De Mayo,1,
1035,Mendoza,1,
1718,Jesus Maria,1,
672,Diamante,1,
