idPlanEstudio, Carrera, Facultad, Letra, Cant Periodo Actual, Cant Periodo Anterior,
2,Profesorado Universitario de Educación Física,Facultad de Ciencias de la Comunicación y de la Educación,B,0,0,
31,Abogacía,Facultad de Ciencias Juridicas y Sociales,A,0,0,
96,Lic. En Comercio Internacional,Facultad de Ciencias Económicas,C,0,0,
19,Diseño de Interiores,Facultad de Arquitectura y Urbanismo,A,0,0,
95,Gestión Adm. Informatizada,Facultad de Ciencias Económicas,B,0,0,
18,Arquitectura,Facultad de Arquitectura y Urbanismo,B,0,0,
82,Abogacía,Facultad de Ciencias Juridicas y Sociales,V,0,0,
17,Licenciatura en Bromatologia,Facultad de Ciencias de la Salud,A,0,0,
50,Técnico Universitario en Administración de Pequeña y Mediana Empresa,Facultad de Ciencias Económicas,P,0,0,
16,Licenciatura en Nutricion,Facultad de Ciencias de la Salud,B,0,0,
46,Maestría en Administración y Dirección de Empresas y Negocios,Facultad de Ciencias Económicas,N,0,0,
102,Abogacía,Facultad Ciencias Jurídicas,GA,0,0,
15,Ingenieria Agronómica,Facultad de Ciencias Agrarias,A,0,0,
44,Licenciatura en Economía,Facultad de Ciencias Económicas,E,0,0,
101,Licenciatura en Marketing,Facultad de Ciencias Económicas,M,0,0,
13,Licenciatura en Periodismo,Facultad de Ciencias de la Comunicación y de la Educación,A,0,0,
43,Licenciatura en Administración de Empresas,Facultad de Ciencias Económicas,L,0,0,
100,Lic. En Comercio Internacional,Facultad de Ciencias Económicas,L,0,0,
7,Profesorado de Enseñanza Superior,Facultad de Ciencias de la Comunicación y de la Educación,A,0,0,
40,Especialización en Sindicatura Concursal,Facultad de Ciencias Económicas,S,0,0,
99,Lic. En Comercio Internacional,Facultad de Ciencias Económicas,I,0,0,
5,Locución Nacional de Radio y Televisión,Facultad de Ciencias de la Comunicación y de la Educación,A,0,0,
38,Contador Público,Facultad de Ciencias Económicas,K,0,0,
98,Carrera Docente,Facultad de Ciencias Económicas,G,0,0,
